name,race,gen,pctwhite,pcthisp,pctblack,pctapi,pctna,pct2race,White,African American,Hispanic,Asian,distinctiveness
dante,black,M,59.504,15.702,8.264,15.702,0,0.826,2.679497,3.495473,2.776834,2.2464,0.718639804
daphne,white,F,67.647,1.961,18.137,11.765,0,0.49,3.267586,2.533095,2.419824,2.216259,0.734491704
darius,black,M,64.865,0,32.432,2.703,0,0,2.515784,3.644012,2.465293,2.109856,1.128227587
darlene,white,F,86.738,2.867,8.781,1.254,0.299,0.06,3.83671,2.918364,2.222707,2.21913,0.918346031
darnell,black,M,17.808,0,82.192,0,0,0,2.533055,3.458832,2.378582,2.09311,0.92577674
darrell,black,M,87.267,1.104,9.762,1.188,0.424,0.255,3.090968,3.798648,2.218365,2.140713,0.707679829
darren,white,M,89.984,1.131,4.604,3.877,0.242,0.162,3.396413,3.086581,2.390947,2.211524,0.309831283
darryl,white,M,69.016,0.665,26.064,3.324,0.532,0.399,3.539371,3.250074,2.251305,2.188573,0.289297104
darwin,white,M,73.585,10.063,5.66,10.063,0.629,0,3.177603,2.731361,2.243503,2.315443,0.44624191
dave,white,M,82.813,2.455,5.134,8.929,0.223,0.446,3.988802,2.645467,2.404572,2.370526,1.34333552
david,white,M,92.808,3.223,1.393,2.393,0.106,0.077,3.824334,2.850154,2.468501,2.523294,0.974180628
davis,white,M,70.13,2.597,11.688,15.584,0,0,3.267345,2.910773,2.043693,2.208352,0.356571999
dawn,white,F,95.147,0.855,3.017,0.779,0.126,0.075,3.992528,2.688518,2.285494,2.321031,1.304009452
dean,white,M,94.986,0.644,0.782,3.404,0.046,0.138,3.836125,2.376279,2.282748,2.190711,1.459845999
deanna,white,F,91.957,2.246,3.623,1.667,0.29,0.217,3.40209,2.811607,2.52509,2.145091,0.590482761
debbie,white,F,87.408,4.173,4.539,3.294,0.366,0.22,3.897287,2.298892,2.264076,2.123809,1.598395162
deborah,white,F,93.945,1.493,3.652,0.676,0.094,0.141,3.803916,2.869817,2.574721,2.207732,0.934098728
delia,white,F,31.081,55.405,3.041,10.135,0,0.338,3.165412,2.895644,2.939425,2.573242,0.225986282
delores,white,F,68.776,2.743,27.004,0,0.844,0.633,3.558177,2.939776,2.89041,2.326271,0.61840061
demetria,black,F,36.585,17.073,41.463,4.878,0,0,2.494439,3.558188,2.657366,2.059218,0.900822567
demetrius,black,M,22,8,70,0,0,0,2.557485,3.445866,2.348575,2.050419,0.888381579
denise,white,F,90.212,3.006,5.414,1.137,0.077,0.154,3.689999,2.854693,2.546614,2.470298,0.835305939
dennis,white,M,93.49,1.51,1.927,2.838,0.117,0.117,3.959597,2.614783,2.008874,2.237472,1.344814016
denny,white,M,80.488,4.065,0,14.634,0,0.813,3.695877,2.561416,2.345209,2.199016,1.134461714
derek,white,M,90.424,0.785,4.082,4.396,0.209,0.105,3.670822,2.834958,2.222882,2.17771,0.835863612
derrick,white,M,55.351,3.01,35.117,5.686,0.502,0.334,3.488448,3.0423,2.367518,2.100832,0.446147957
desiree,black,F,71.429,11.55,12.462,3.343,0.304,0.912,2.804075,3.625957,2.641158,2.339195,0.821882089
desmond,black,M,49.474,7.368,35.789,6.316,0,1.053,2.552835,3.456801,2.490243,2.331864,0.903965772
devin,white,M,89.164,1.238,5.882,3.406,0.31,0,3.275674,3.132869,2.392626,2.306888,0.142804854
dewayne,black,M,73.451,0,24.779,0.885,0,0.885,2.705504,3.673712,2.25412,2.226441,0.96820852
dexter,white,M,36.923,3.077,41.538,17.692,0,0.769,3.557124,2.603892,2.246941,2.14421,0.953232224
diana,white,F,83.591,11.142,1.903,2.923,0.248,0.193,3.522463,2.674107,2.65711,2.415853,0.848356091
